一　イチ
一　ひと。つ
乙　おつ
乙　おつに
丁　チョウ
丁　テイ 
七　シチ
七　なな。つ
九　ク
九　キュウ
九　ここの。つ
了　リョウ
二　ニ
二　ふた。つ
人　ジン
人　ニン
人　ひと
入　ニュウ
入　いり
入　い。れる
八　ハチ
八　やっつ
刀　トウ
刀　かたな
力　リキ
力　リョク
力　ちから
十　ジュウ
十　とう
又　また
丈　ジョウ
三　サン
三　みっつ
上　ジョウ
上　うえ
上　かみ
上　のぼ。る
上　あ。げる
上　あ。がる
下　カ
下　ゲ
下　した
下　もと
下　しも
下　くだ。る
下　さ。げる
下　さ。がる
丸　ガン
丸　まる。い
久　キュウ
久　ク
久　ひさ。しい
久　ひさ。しく
亡　ボウ
凡　ボン
刃　ジン
刃　は
勺　シャク
チ　セン
チ　ち
及　キュウ
及　およ。び
及　およ。ぶ
口　コウ
口　ク
口　くち
土　ド
土　ト
土　つち
士　シ
夕　セキ
夕　ゆう
大　ダイ
大　タイ
大　おう。きい
女　ジョ
女　ニョウ
女　おんな
子　シ
子　ス
子　こ
寸　スン
小　ショウ
小　しい。さい
山　サン
山　やま 
川　セン
川　かわ 
工　コウ
工　ク
己　コ
己　キ
干　タン
干　ほ。す
干　ひ。る
弓　キュウ
弓　ゆみ
与　ヨ
与　あた。える
万　バン
万　マン
才　サイ
不　フ
中　チュウ
中　なか
丹　タン
乏　ボウ
乏　とぼ。しい
互　ゴ
互　たが。い
五　ゴ
五　いつ。つ
井　セイ
井　ショウ
井　い
仁　ジン
今　コン
今　キン
今　いま
介　カイ
介　かい。して
仏　ブツ
仏　ほとけ
元　ガン
元　ゲン
元　もと
内　ダイ
内　ナイ
内　うち
公　コウ
六　ロク
六　ムッツ
冗　ジョウ
凶　キョウ
分　フン
分　ブン
分　フ
分　わ。ける
切　セツ
切　セイ
切　き。る
刈　か。る
化　カ
化　ケ
化　ば。ける
化　ば。かす
匹　ヒツ
匹　ヒキ
午　ゴ
友　ユウ
友　とも
区　ク
反　ハン
反　タン
厄　ヤク
円　エン
天　テン
天　あめ
太　タイ
太　タ
太　ふと。い
太　ふと。る
夫　フ
夫　おっと
孔　コウ
